stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
7294,7294,"12243 S Avenue O","12243 S Avenue O, Southbound, Westside of the Street",41.67271651,-87.54017102,0,,1
7295,7295,"Avenue O & Veteran's Drive (12400 S)","Avenue O & Veteran's Drive (12400 S), Southbound, Westside of the Street",41.66790119,-87.53910051,0,,1
7296,7296,"12800 S Avenue O","12800 S Avenue O, Southbound, Westside of the Street",41.66425254,-87.53979548,0,,1
7297,7297,"Avenue O & 130th Street","Avenue O & 130th Street, Southbound, Northwest Corner",41.65945092,-87.5400114,0,,1
7298,7298,"Avenue O & 131st Street","Avenue O & 131st Street, Southbound, Northwest Corner",41.65765292,-87.54001139,0,,1
7299,7299,"Avenue O & 132nd Street","Avenue O & 132nd Street, Southbound, Northwest Corner",41.65558092,-87.54000038,0,,1
7300,7300,"Avenue O & 133rd Street","Avenue O & 133rd Street, Southbound, Northwest Corner",41.65371268,-87.53997822,0,,1
7310,7310,"Baltimore & 134th Street","Baltimore & 134th Street, Northbound, Southeast Corner",41.65180239,-87.5470275,0,,1
7312,7312,"132nd Street & Baltimore","132nd Street & Baltimore, Westbound, Northwest Corner",41.65557329,-87.54741243,0,,1
7313,7313,"132nd Street & Carondolet","132nd Street & Carondolet, Westbound, Northeast Corner",41.65557099,-87.54941539,0,,1
7314,7314,"132nd Street & Exchange","132nd Street & Exchange, Westbound, Northeast Corner",41.65555384,-87.55179294,0,,1
7315,7315,"Exchange & 131st Street","Exchange & 131st Street, Northbound, Eastside of the Street",41.65732893,-87.55188557,0,,1
7316,7316,"Exchange & 130th Street","Exchange & 130th Street, Northbound, Southeast Corner",41.65902457,-87.55193166,0,,1
7317,7317,"130th Street & Carondolet","130th Street & Carondolet, Eastbound, Southwest Corner",41.65910571,-87.54967351,0,,1
7318,7318,"130th Street & Baltimore","130th Street & Baltimore, Eastbound, Southwest Corner",41.65909871,-87.54728252,0,,1
7320,7320,"Baltimore & 132nd Street","Baltimore & 132nd Street, Southbound, Northwest Corner",41.65560011,-87.54721149,0,,1
7322,7322,"Baltimore & 134th Street","Baltimore & 134th Street, Southbound, Northwest Corner",41.65207082,-87.5472367,0,,1
7323,7323,"Baltimore & Brainard","Baltimore & Brainard, Southbound, Northwest Corner",41.64968802,-87.54726862,0,,1
7331,7331,"Avenue O & 133rd Street","Avenue O & 133rd Street, Northbound, Southeast Corner",41.65360287,-87.5397182,0,,1
7332,7332,"Avenue O & 132nd Street","Avenue O & 132nd Street, Northbound, Eastside of the Street",41.65557534,-87.53981256,0,,1
7333,7333,"Avenue O & 131st Street","Avenue O & 131st Street, Northbound, Southeast Corner",41.6572317,-87.53982463,0,,1
7335,7335,"12800 S Avenue O","12800 S Avenue O, Northbound, Eastside of the Street",41.66426422,-87.53946578,0,,1
7336,7336,"Avenue O & Veteran's Drive (12400 S)","Avenue O & Veteran's Drive (12400 S), Northbound, Southeast Corner",41.66815479,-87.53873675,0,,1
7337,7337,"12243 S Avenue O","12243 S Avenue O, Northbound, Southeast Corner",41.67256887,-87.53985022,0,,1
7338,7338,"Avenue O & Ewing (12000 South)","Avenue O & Ewing (12000 South), Northbound, Southeast Corner",41.67588654,-87.53989431,0,,1
7339,7339,"11919 S Avenue O","11919 S Avenue O, Northbound, Southeast Corner",41.67892682,-87.5397807,0,,1
7340,7340,"11731 S Avenue O","11731 S Avenue O, Northbound, Eastside of the Street",41.68232305,-87.53993903,0,,1
7341,7341,"Avenue O & 116th Street","Avenue O & 116th Street, Northbound, Eastside of the Street",41.68471723,-87.54000236,0,,1
7342,7342,"Avenue O & 114th Street","Avenue O & 114th Street, Northbound, Southeast Corner",41.68814345,-87.54003279,0,,1
7343,7343,"Avenue O & 113th Street","Avenue O & 113th Street, Northbound, Southeast Corner",41.68998191,-87.5399995,0,,1
7344,7344,"Avenue O & 112th Street","Avenue O & 112th Street, Northbound, Southeast Corner",41.69178791,-87.5400035,0,,1
7346,7346,"112th Street & Avenue M","112th Street & Avenue M, Eastbound, Southwest Corner",41.69177971,-87.53781043,0,,1
7348,7348,"Ewing & 112th Street","Ewing & 112th Street, Northbound, Northeast Corner",41.69212973,-87.53518372,0,,1
7349,7349,"Ewing & 111th Street","Ewing & 111th Street, Northbound, Southeast Corner",41.69361702,-87.53515209,0,,1
7350,7350,"Ewing & 110th Street","Ewing & 110th Street, Northbound, Southeast Corner",41.69537004,-87.53517,0,,1
7351,7351,"Ewing & 109th Street","Ewing & 109th Street, Northbound, Northeast Corner",41.6973744,-87.53516498,0,,1
7352,7352,"Ewing & 108th Street","Ewing & 108th Street, Northbound, Southeast Corner",41.69904153,-87.5351964,0,,1
7353,7353,"Ewing & 107th Street","Ewing & 107th Street, Northbound, Southeast Corner",41.70088353,-87.53517619,0,,1
